School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
1719,Amamoor State School,2015,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5077,5393,94.10%
1719,Amamoor State School,2016,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5286.5,5670,93.20%
1719,Amamoor State School,2017,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,5937.5,6303,94.20%
1719,Amamoor State School,2018,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,6768,7329,92.30%
1719,Amamoor State School,2019,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,7594,8290,91.60%
115,Amberley District State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,72341.5,77499,93.30%
115,Amberley District State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,69760.5,74640,93.50%
115,Amberley District State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,70403,75394,93.40%
115,Amberley District State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,75410,80632,93.50%
115,Amberley District State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Ipswich (C),Ipswich West,75093.5,80810.5,92.90%
1415,Ambrose State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,9056,9610,94.20%
1415,Ambrose State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,8530.5,9098,93.80%
1415,Ambrose State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,7681.5,8285,92.70%
1415,Ambrose State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,7311.5,7830,93.40%
1415,Ambrose State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Gladstone (R),Gladstone,5993.5,6321,94.80%
1629,Amiens State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,2958,3138,94.30%
1629,Amiens State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3113.5,3277,95.00%
1629,Amiens State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3492.5,3716,94.00%
1629,Amiens State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3794,4066,93.30%
1629,Amiens State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3201.5,3547,90.30%
474,Anakie State School,2015,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,8210.5,8831,93.00%
474,Anakie State School,2016,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7089.5,7867,90.10%
474,Anakie State School,2017,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7459,8012,93.10%
474,Anakie State School,2018,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,7397,8055,91.80%
474,Anakie State School,2019,State School,Primary,Remote Australia,Central Queensland,Central Highlands (R),Gregory,5637,6093,92.50%
1572,Andergrove State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30761.5,33315,92.30%
1572,Andergrove State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30706,32919,93.30%
1572,Andergrove State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,30381.5,32587,93.20%
1572,Andergrove State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,34125.5,36905,92.50%
1572,Andergrove State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,29772.5,32821.5,90.70%
440,Annandale State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,74276.5,78367,94.80%
440,Annandale State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,77700,82970,93.60%
440,Annandale State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,77908.5,82793,94.10%
440,Annandale State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,79399,85467,92.90%
440,Annandale State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,68453,74305.5,92.10%
1294,Applethorpe State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3237,3371,96.00%
1294,Applethorpe State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3271.5,3471,94.30%
1294,Applethorpe State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,3372.5,3581,94.20%
1294,Applethorpe State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,4050.5,4307,94.00%
1294,Applethorpe State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,4750,5109,93.00%
312,Aramac State School,2015,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,4557.5,4864,93.70%
312,Aramac State School,2016,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,4510.5,4777,94.40%
312,Aramac State School,2017,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,4502,4901,91.90%
312,Aramac State School,2018,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,4932.5,5294,93.20%
312,Aramac State School,2019,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,4329.5,4776,90.70%
1266,Aratula State School,2015,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,3156,3455,91.30%
1266,Aratula State School,2016,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,3321.5,3577,92.90%
1266,Aratula State School,2017,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,4178,4650,89.80%
1266,Aratula State School,2018,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,4998,5377,93.00%
1266,Aratula State School,2019,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,4214.5,4709,89.50%
813,Arcadia Valley State School,2015,State School,Primary,Remote Australia,Darling Downs South West,Central Highlands (R),Gregory,359,384,93.50%
813,Arcadia Valley State School,2016,State School,Primary,Remote Australia,Darling Downs South West,Central Highlands (R),Gregory,350,380,92.10%
813,Arcadia Valley State School,2017,State School,Primary,Remote Australia,Darling Downs South West,Central Highlands (R),Gregory,407,447,91.10%
813,Arcadia Valley State School,2018,State School,Primary,Remote Australia,Darling Downs South West,Central Highlands (R),Gregory,802.5,827,97.00%
813,Arcadia Valley State School,2019,State School,Primary,Remote Australia,Darling Downs South West,Central Highlands (R),Gregory,558.5,570,98.00%
1997,Arundel State School,2015,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Bonney,94770.5,102887,92.10%
1997,Arundel State School,2016,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Bonney,99791,106880,93.40%
1997,Arundel State School,2017,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Bonney,99017.5,106625,92.90%
1997,Arundel State School,2018,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Bonney,105765.5,114142,92.70%
1997,Arundel State School,2019,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Bonney,102793.5,110630,92.90%
296,Ascot State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,71307,75652,94.30%
296,Ascot State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,69829,73950,94.40%
296,Ascot State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,67595,70849,95.40%
296,Ascot State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,72255.5,75704,95.40%
296,Ascot State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,69695.5,73261,95.10%
186,Ashgrove State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Cooper,70559.5,73421,96.10%
186,Ashgrove State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Cooper,71713,74861,95.80%
