Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2409,,767,17,1,1,3,1,1,542,1065,1030
2410,,937,659,3,26,169,3,28,936,944,278
2411,,1027,1873,8,72,406,7,67,1024,1067,120
2415,,963,1014,4,39,258,5,42,953,992,390
2420,,942,723,3,28,188,4,31,828,1028,4023
2421,,1036,1973,8,76,426,7,70,967,1072,1828
2422,,923,488,2,19,124,3,21,810,988,5338
2423,,897,252,1,10,58,1,10,832,974,2964
2424,,866,116,1,5,25,1,5,852,971,425
2425,,945,763,3,30,196,4,32,909,992,1780
2426,,888,195,1,8,42,1,7,876,909,720
2427,,911,356,2,14,94,2,16,821,972,3114
2428,,908,327,2,13,83,2,14,622,1071,24009
2429,,906,314,2,12,78,2,13,804,1000,9717
2430,,906,311,2,12,76,2,13,543,1066,34018
2431,,918,431,2,17,109,2,18,827,1039,5133
2439,,953,881,4,34,225,4,37,888,1023,2941
2440,,865,114,1,5,23,1,4,465,1002,21819
2441,,928,541,3,21,138,3,23,763,1024,4345
2443,,899,262,1,10,64,2,11,775,1090,8894
2444,,969,1105,5,43,272,5,45,683,1140,46284
2445,,992,1434,6,55,330,6,54,914,1090,6466
2446,,938,671,3,26,173,3,29,805,1067,13330
2447,,919,435,2,17,110,2,18,814,1010,7178
2448,,888,198,1,8,44,1,8,733,1046,9000
2449,,858,100,1,4,20,1,4,764,998,2188
2450,,961,985,4,38,247,5,41,703,1094,43894
2452,,925,509,2,20,127,3,21,668,1067,15120
2453,,932,582,3,23,147,3,24,852,1056,2768
2454,,973,1165,5,45,283,5,47,869,1042,7570
2455,,919,441,2,17,112,2,19,859,1046,3000
2456,,957,933,4,36,233,4,38,782,1047,14749
2460,,897,250,1,10,57,1,10,695,1019,29216
2462,,891,217,1,9,50,1,9,824,945,2443
2463,,927,530,3,21,134,3,22,850,1015,7545
2464,,951,846,4,33,217,4,36,883,1042,6738
2465,,920,445,2,17,113,2,19,920,920,291
2466,,863,110,1,5,22,1,4,817,950,1730
2469,,883,168,1,7,34,1,6,788,966,4012
2470,,876,148,1,6,31,1,6,685,1012,15225
2471,,905,301,2,12,71,2,12,839,983,2524
2472,,907,321,2,13,81,2,14,848,980,1857
2473,,916,408,2,16,102,2,17,862,975,3088
